file,tailwind_class_occurrences
app/games/page.tsx,46
app/games/view/page.tsx,70
app/how-to/page.tsx,4
app/landing/page.tsx,8
app/layout.tsx,3
app/players/page.tsx,1
app/rules/page.tsx,21
app/scorecard/page.tsx,1
app/settings/page.tsx,6
app/single-player/page.tsx,13
app/single/page.tsx,4
components/dialogs/ConfirmDialog.tsx,2
components/dialogs/NewGameConfirm.tsx,3
components/dialogs/PromptDialog.tsx,6
components/header.tsx,11
components/landing/HeroCtas.tsx,1
components/landing/ModeCard.tsx,8
components/landing/QuickLinks.tsx,19
components/leaderboard.tsx,6
components/players/CreatePlayer.tsx,5
components/players/PlayerList.tsx,19
components/players/PlayerManagement.tsx,65
components/players/SpRosterManagement.tsx,28
components/ui/dialog.tsx,2
components/ui/toast.tsx,8
components/views/RoundsView.tsx,34
components/views/SinglePlayerDesktop.tsx,74
components/views/SinglePlayerMobile.tsx,17
components/views/scorecard/ScorecardGrid.tsx,57
components/views/sp/SpGameSummary.tsx,5
components/views/sp/SpHandDock.tsx,4
components/views/sp/SpHeaderBar.tsx,13
components/views/sp/SpRoundSummary.tsx,18
components/views/sp/SpScoreCard.tsx,18
components/views/sp/SpTrickTable.tsx,8
